,2007Epidemia,2007IDH,2007
Afghanistan,0,0.363,48.0
Algeria,0,0.68,34.0
Argentina,0,0.78,39.0
Australia,0,0.922,64.3000030517578
Bahrain,0,0.804,30.3999996185303
Bangladesh,86,0.478,55.9000015258789
Benin,0,0.414,59.4000015258789
Bolivia,1,0.645,49.0
Botswana,0,0.618,25.6000003814697
Brazil,0,0.7,53.0999984741211
Burundi,0,0.289,72.0
Cameroon,0,0.459,34.7000007629394
Canada,0,0.9,60.5999984741211
Chile,0,0.789,24.0
China,0,0.656,55.7000007629394
Colombia,0,0.691,43.9000015258789
"Congo, Dem. Rep.",172,0.271,60.7000007629394
"Congo, Rep.",0,0.512,44.5999984741211
Costa Rica,0,0.735,44.0
Cote d'Ivoire,30,0.388,45.4000015258789
Ecuador,0,0.702,39.0
Egypt,0,0.626,21.6000003814697
El Salvador,0,0.668,40.7000007629394
France,0,0.877,28.7999992370606
Gabon,0,0.656,33.9000015258789
Gambia,0,0.399,53.9000015258789
Germany,0,0.901,43.4000015258789
Ghana,0,0.508,40.4000015258789
Guatemala,0,0.565,53.0999984741211
Haiti,0,0.443,47.7000007629394
Honduras,0,0.613,43.0999984741211
"Hong Kong, China",0,0.87,39.2999992370606
India,0,0.523,39.2000007629394
Indonesia,403,0.591,41.4000015258789
Iran,0,0.694,34.7999992370606
Ireland,0,0.909,46.7999992370606
Israel,0,0.882,26.7000007629395
Italy,0,0.869,25.6000003814697
Jamaica,0,0.717,31.7000007629394
Japan,0,0.894,40.5999984741211
Jordan,0,0.685,19.2999992370605
Kenya,0,0.486,59.2000007629394
Kuwait,0,0.756,31.5
Lesotho,0,0.429,43.2000007629394
Malawi,0,0.367,49.2999992370606
Malaysia,56,0.746,44.0999984741211
Mali,0,0.338,34.4000015258789
Mauritania,0,0.442,30.5
Mauritius,0,0.714,36.7999992370606
Mexico,0,0.755,42.5
Myanmar,30,0.459,53.9000015258789
Nepal,0,0.437,45.4000015258789
Netherlands,0,0.902,65.4000015258789
New Zealand,0,0.903,56.2999992370606
Nicaragua,0,0.577,48.0
Niger,0,0.273,51.2999992370606
Pakistan,0,0.493,43.2000007629394
Panama,0,0.752,40.2999992370606
Papua New Guinea,0,0.447,55.0
Paraguay,0,0.643,57.7000007629394
Peru,0,0.704,51.5
Philippines,0,0.63,40.2999992370606
Rwanda,0,0.401,64.3000030517578
Saudi Arabia,0,0.755,24.7999992370605
Senegal,16,0.445,53.9000015258789
Sierra Leone,0,0.319,41.5
South Africa,0,0.604,14.3000001907349
Spain,0,0.866,38.0999984741211
Sri Lanka,0,0.673,34.7999992370606
Sudan,584,0.395,24.0
Sweden,0,0.899,44.9000015258789
Switzerland,0,0.893,62.5
Syria,0,0.628,32.7000007629394
Thailand,0,0.67,46.5999984741211
Togo,0,0.424,51.7000007629394
Turkey,0,0.688,30.6000003814697
United Kingdom,0,0.856,56.4000015258789
United States,0,0.905,52.4000015258789
Venezuela,0,0.72,38.2000007629394
Zambia,5,0.405,46.5
Zimbabwe,67,0.35,50.5
